SampleID	exclude	interferent	spike_amount	spike_unit	cancer_group_expected	cancer_is_expected	cancer_is_detected	cancer_detection_is_correct	cancer_type_predicted	tm_extraction_quant_concentration	analysis_on_binary_target_coverage_stats_mean	analysis_abnormal_coverage_cpg_mean
C	FALSE	Bilirubin	15	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.023	169.3839	0.8665485
C	FALSE	gDNA	0	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.052	196.5885	1.05954
C	FALSE	Triglycerides	0	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.029	88.1825	0.5519041
C	TRUE	Triglycerides	200	mg/dL	cancer	TRUE	TRUE	TRUE	lung	0.96	6.3421	0.06992444
NC	FALSE	gDNA	50	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.06	168.2483	0.1695277
NC	FALSE	gDNA	0	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.061	197.8712	0.2271777
NC	TRUE	Hemoglobin	100	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.351	26.9949	0.03738348
C	TRUE	Triglycerides	100	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	0.989	17.6565	0.1908002
C	FALSE	Bilirubin	15	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.22	197.1834	1.00453
NC	FALSE	Bilirubin	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.059	167.4085	0.1810598
NC	FALSE	Hemoglobin	1000	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.321	204.53	0.2254458
NC	FALSE	Triglycerides	400	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	0.902	226.8695	0.2240824
NC	FALSE	Bilirubin	10	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.083	204.2481	0.2181262
C	FALSE	Triglycerides	100	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.068	152.2948	1.019456
NC	TRUE	Bilirubin	5	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.01	11.6591	0.02033969
NC	FALSE	gDNA	0	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.206	189.9324	0.1947939
NC	FALSE	Hemoglobin	1000	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.083	235.2833	0.2362533
C	FALSE	Hemoglobin	1000	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	0.988	177.615	0.8639262
C	FALSE	Bilirubin	10	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.155	86.5393	0.3902048
C	FALSE	gDNA	50	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.145	205.1972	1.060858
C	FALSE	gDNA	100	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.163	213.8467	0.9818839
C	FALSE	Bilirubin	0	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.157	80.3034	0.3627682
NC	FALSE	Hemoglobin	100	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.423	211.0544	0.2277058
C	FALSE	gDNA	200	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.358	197.4212	0.9713163
NC	FALSE	Hemoglobin	500	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.136	209.5182	0.2149072
NC	FALSE	gDNA	150	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.228	180.3623	0.1858833
C	FALSE	gDNA	50	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.221	204.6467	0.9422143
NC	FALSE	Triglycerides	200	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.131	206.516	0.2625851
